language_code,language_name,local_name,iso639_1,iso639_2_t,iso639_2_b,scripts,script_codes,primary_script,primary_script_code,directionality,directionality_wikimedia,modern_language,is_official,n_scripts,in_iso639_1,in_iso639_2,in_wikimedia,is_group_iso639_2,sources,cldr_version,iso639_5_direct,iso639_5_family,family_name,subfamily_name
aa,Afar,Afar,aa,aar,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,cus,afa,Afro-Asiatic languages,Cushitic languages
ab,Abkhazian,Аҧсуа,ab,abk,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,ccn,cau,Caucasian languages,North Caucasian languages
abq,Abaza,,,,,Cyrl|Latn,Cyrl|Latn,Cyrl,Cyrl,ltr,,True,False,2,False,False,False,False,cldr,48.2.0,ccn,cau,Caucasian languages,North Caucasian languages
abr,Abron,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
ace,Acehnese,,,ace,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,map,map,Austronesian languages,Austronesian languages
ach,Acoli,,,ach,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,ssa,ssa,Nilo-Saharan languages,Nilo-Saharan languages
ada,Adangme,,,ada,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
ady,Adyghe,,,ady,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,ccn,cau,Caucasian languages,North Caucasian languages
ae,Avestan,,ae,ave,,Avst,Avst,Avst,Avst,rtl,,False,False,1,True,True,False,False,cldr|iso639_1|iso639_2,48.2.0,ira,ine,Indo-European languages,Iranian languages
aeb,Tunisian Arabic,,,,,Arab,Arab,Arab,Arab,rtl,,True,False,1,False,False,False,False,cldr,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages
af,Afrikaans,Afrikaans,af,afr,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,gem,ine,Indo-European languages,Germanic languages
afh,Afrihili,,,afh,,,,,,ltr,,True,False,0,False,True,False,False,loc_only,,art,art,Artificial languages,Artificial languages
agq,Aghem,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
aii,Assyrian Neo-Aramaic,,,,,Cyrl|Syrc,Cyrl|Syrc,Cyrl,Cyrl,ltr,,True,False,2,False,False,False,False,cldr,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages
ain,Ainu,,,ain,,Kana|Latn,Kana|Latn,Kana,Kana,ltr,,True,False,2,False,True,False,False,cldr|iso639_2,48.2.0,,,Language isolate,Language isolate
ak,Akan,Akana,ak,aka,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
akk,Akkadian,,,akk,,Xsux,Xsux,Xsux,Xsux,ltr,,False,False,1,False,True,False,False,cldr|iso639_2,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages
akz,Alabama,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nai,nai,North American Indian languages,North American Indian languages
ale,Aleut,,,ale,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,esx,esx,Eskimo-Aleut languages,Eskimo-Aleut languages
aln,Gheg Albanian,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,sqj,sqj,Albanian languages,Albanian languages
als,Alemannic,Alemannisch,,,,,,,,ltr,ltr,True,False,0,False,False,True,False,wikimedia_only,,gem,ine,Indo-European languages,Germanic languages
alt,Southern Altai,,,alt,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,trk,tut,Altaic languages,Turkic languages
am,Amharic,አማርኛ,am,amh,,Ethi,Ethi,Ethi,Ethi,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages
amo,Amo,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
an,Aragonese,Aragonés,an,arg,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,roa,ine,Indo-European languages,Romance languages
ang,Old English,Angal Heneng,,ang,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,gem,ine,Indo-European languages,Germanic languages
ann,Obolo,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
anp,Angika,,,anp,,Deva,Deva,Deva,Deva,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
aoz,Uab Meto,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,map,map,Austronesian languages,Austronesian languages
apc,Levantine Arabic,,,,,Arab,Arab,Arab,Arab,rtl,,True,False,1,False,False,False,False,cldr,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages
apd,Sudanese Arabic,,,,,Arab,Arab,Arab,Arab,rtl,,True,False,1,False,False,False,False,cldr,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages
ar,Arabic,العربية,ar,ara,,Arab|Syrc,Arab|Syrc,Arab,Arab,rtl,rtl,True,True,2,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages
arc,Aramaic,ܣܘܪܬ,,arc,,Armi|Nbat|Palm,Armi|Nbat|Palm,Armi,Armi,rtl,rtl,False,False,3,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages
arn,Mapuche,,,arn,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,sai,sai,South American Indian languages,South American Indian languages
aro,Araona,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,sai,sai,South American Indian languages,South American Indian languages
arp,Arapaho,,,arp,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,alg,nai,North American Indian languages,Algonquian languages
arq,Algerian Arabic,,,,,Arab,Arab,Arab,Arab,rtl,,True,False,1,False,False,False,False,cldr,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages
ars,Najdi Arabic,,,,,Arab,Arab,Arab,Arab,rtl,,True,False,1,False,False,False,False,cldr,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages
arw,Arawak,,,arw,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,sai,sai,South American Indian languages,South American Indian languages
ary,Moroccan Arabic,,,,,Arab,Arab,Arab,Arab,rtl,,True,False,1,False,False,False,False,cldr,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages
arz,Egyptian Arabic,مصرى,,,,Arab,Arab,Arab,Arab,rtl,rtl,True,False,1,False,False,True,False,cldr|wikimedia,48.2.0,sem,afa,Afro-Asiatic languages,Semitic languages
as,Assamese,অসমীয়া,as,asm,,Beng,Beng,Beng,Beng,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
asa,Asu,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
ase,American Sign Language,,,,,,,,,ltr,,True,True,0,False,False,False,False,cldr_v45,45,sgn,sgn,Sign languages,Sign languages
ast,Asturian,Asturianu,,ast,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,roa,ine,Indo-European languages,Romance languages
atj,Atikamekw,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,alg,nai,North American Indian languages,Algonquian languages
av,Avaric,Авар,av,ava,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,ccn,cau,Caucasian languages,North Caucasian languages
avk,Kotava,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,art,art,Artificial languages,Artificial languages
awa,Awadhi,Awadhi,,awa,,Deva,Deva,Deva,Deva,ltr,ltr,True,False,1,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
ay,Aymara,Aymar,ay,aym,,Latn,Latn,Latn,Latn,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,sai,sai,South American Indian languages,South American Indian languages
az,Azerbaijani,Azərbaycanca / آذربايجان,az,aze,,Latn|Arab|Cyrl,Latn|Arab|Cyrl,Latn,Latn,ltr,ltr,True,True,3,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,trk,tut,Altaic languages,Turkic languages
ba,Bashkir,Башҡорт,ba,bak,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,trk,tut,Altaic languages,Turkic languages
bal,Baluchi,,,bal,,Arab|Latn,Arab|Latn,Arab,Arab,rtl,,True,False,2,False,True,False,False,cldr|iso639_2,48.2.0,ira,ine,Indo-European languages,Iranian languages
ban,Balinese,,,ban,,Latn|Bali,Latn|Bali,Latn,Latn,ltr,,True,False,2,False,True,False,False,cldr|iso639_2,48.2.0,map,map,Austronesian languages,Austronesian languages
bap,Bantawa,,,,,Deva,Deva,Deva,Deva,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,sit,sit,Sino-Tibetan languages,Sino-Tibetan languages
bar,Bavarian,Boarisch,,,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,False,False,True,False,cldr|wikimedia,48.2.0,gem,ine,Indo-European languages,Germanic languages
bas,Basaa,,,bas,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
bat-smg,Samogitian,Žemaitėška,,,,,,,,ltr,ltr,True,False,0,False,False,True,False,wikimedia_only,,bat,ine,Indo-European languages,Baltic languages
bax,Bamun,,,,,Bamu,Bamu,Bamu,Bamu,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
bbc,Batak Toba,,,,,Latn|Batk,Latn|Batk,Latn,Latn,ltr,,True,False,2,False,False,False,False,cldr,48.2.0,map,map,Austronesian languages,Austronesian languages
bbj,Ghomala,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
bci,Baoulé,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
bcl,Bikol,Bikol Central,,,,,,,,ltr,ltr,True,False,0,False,False,True,False,wikimedia_only,,map,map,Austronesian languages,Austronesian languages
be,Belarusian,Беларуская,be,bel,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,sla,ine,Indo-European languages,Slavic languages
be-x-old,Belarusian (Taraškievica),Беларуская (тарашкевіца),,,,,,,,ltr,ltr,True,False,0,False,False,True,False,wikimedia_only,,sla,ine,Indo-European languages,Slavic languages
bej,Beja,,,bej,,Arab,Arab,Arab,Arab,rtl,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,cus,afa,Afro-Asiatic languages,Cushitic languages
bem,Bemba,,,bem,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
bew,Betawi,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,map,map,Austronesian languages,Austronesian languages
bez,Bena,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
bfd,Bafut,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
bfq,Badaga,,,,,Taml,Taml,Taml,Taml,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,dra,dra,Dravidian languages,Dravidian languages
bft,Balti,,,,,Arab|Tibt,Arab|Tibt,Arab,Arab,rtl,,True,False,2,False,False,False,False,cldr,48.2.0,sit,sit,Sino-Tibetan languages,Sino-Tibetan languages
bfy,Bagheli,,,,,Deva,Deva,Deva,Deva,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
bg,Bulgarian,Български,bg,bul,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,sla,ine,Indo-European languages,Slavic languages
bgc,Haryanvi,,,,,Deva,Deva,Deva,Deva,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
bgn,Western Balochi,,,,,Arab,Arab,Arab,Arab,rtl,,True,False,1,False,False,False,False,cldr,48.2.0,ira,ine,Indo-European languages,Iranian languages
bgx,Balkan Gagauz Turkish,,,,,Grek,Grek,Grek,Grek,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,trk,tut,Altaic languages,Turkic languages
bh,Bihari,भोजपुरी,bh,,,,,,,ltr,ltr,True,False,0,True,False,True,False,wikimedia_only|iso639_1,,inc,ine,Indo-European languages,Indo-Aryan languages
bhb,Bhili,,,,,Deva,Deva,Deva,Deva,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
bhi,Bhilali,,,,,Deva,Deva,Deva,Deva,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
bho,Bhojpuri,,,bho,,Deva,Deva,Deva,Deva,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
bi,Bislama,Bislama,bi,bis,,Latn,Latn,Latn,Latn,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,map,map,Austronesian languages,Austronesian languages
bik,Bikol,,,bik,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,map,map,Austronesian languages,Austronesian languages
bin,Bini,,,bin,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
bjj,Kanauji,,,,,Deva,Deva,Deva,Deva,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
bjn,Banjar,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,map,map,Austronesian languages,Austronesian languages
bjt,Balanta-Ganja,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
bkm,Kom,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
bku,Buhid,,,,,Latn|Buhd,Latn|Buhd,Latn,Latn,ltr,,True,False,2,False,False,False,False,cldr,48.2.0,map,map,Austronesian languages,Austronesian languages
bla,Siksiká,,,bla,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,alg,nai,North American Indian languages,Algonquian languages
blo,Anii,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
blt,Tai Dam,,,,,Tavt,Tavt,Tavt,Tavt,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,tai,tai,Tai-Kadai languages,Tai-Kadai languages
bm,Bambara,Bamanankan,bm,bam,,Latn|Nkoo,Latn|Nkoo,Latn,Latn,ltr,ltr,True,False,2,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
bmq,Bomu,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
bn,Bangla,বাংলা,bn,ben,,Beng,Beng,Beng,Beng,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
bo,Tibetan,བོད་ཡིག / Bod skad,bo,bod,tib,Tibt,Tibt,Tibt,Tibt,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,sit,sit,Sino-Tibetan languages,Sino-Tibetan languages
bpy,Bishnupriya,ইমার ঠার/বিষ্ণুপ্রিয়া মণিপুরী,,,,Beng,Beng,Beng,Beng,ltr,ltr,True,False,1,False,False,True,False,cldr|wikimedia,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
bqi,Bakhtiari,,,,,Arab,Arab,Arab,Arab,rtl,,True,False,1,False,False,False,False,cldr,48.2.0,ira,ine,Indo-European languages,Iranian languages
bqv,Koro Wachi,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
br,Breton,Brezhoneg,br,bre,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,cel,ine,Indo-European languages,Celtic languages
bra,Braj,,,bra,,Deva,Deva,Deva,Deva,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,inc,ine,Indo-European languages,Indo-Aryan languages
brh,Brahui,,,,,Arab|Latn,Arab|Latn,Arab,Arab,rtl,,True,False,2,False,False,False,False,cldr,48.2.0,dra,dra,Dravidian languages,Dravidian languages
brx,Bodo,बड़,,,,Deva,Deva,Deva,Deva,ltr,ltr,True,False,1,False,False,True,False,cldr|wikimedia,48.2.0,sit,sit,Sino-Tibetan languages,Sino-Tibetan languages
bs,Bosnian,Bosanski,bs,bos,,Latn|Cyrl,Latn|Cyrl,Latn,Latn,ltr,ltr,True,True,2,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,sla,ine,Indo-European languages,Slavic languages
bsc,Bassari,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
bsq,Bassa,,,,,Latn|Bass,Latn|Bass,Latn,Latn,ltr,,True,False,2,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
bss,Akoose,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
bto,Rinconada Bikol,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,map,map,Austronesian languages,Austronesian languages
btv,Bateri,,,,,Deva,Deva,Deva,Deva,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,ira,ine,Indo-European languages,Iranian languages
bua,Buriat,,,bua,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,xgn,tut,Altaic languages,Mongolian languages
buc,Bushi,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
bug,Buginese,ᨅᨔ ᨕᨘᨁᨗ / Basa Ugi,,bug,,Latn|Bugi,Latn|Bugi,Latn,Latn,ltr,ltr,True,False,2,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,map,map,Austronesian languages,Austronesian languages
bum,Bulu,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
bvb,Bube,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
bxr,Buriat (Russia),Буряад хэлэн,,,,,,,,ltr,ltr,True,False,0,False,False,True,False,wikimedia_only,,xgn,tut,Altaic languages,Mongolian languages
byn,Blin,,,byn,,Ethi,Ethi,Ethi,Ethi,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,cus,afa,Afro-Asiatic languages,Cushitic languages
byv,Medumba,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
bze,Jenaama Bozo,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,ssa,ssa,Nilo-Saharan languages,Nilo-Saharan languages
bzx,Kɛlɛngaxo Bozo,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,ssa,ssa,Nilo-Saharan languages,Nilo-Saharan languages
ca,Catalan,Català,ca,cat,,Latn,Latn,Latn,Latn,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,roa,ine,Indo-European languages,Romance languages
cad,Caddo,,,cad,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,nai,nai,North American Indian languages,North American Indian languages
car,Carib,,,car,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,sai,sai,South American Indian languages,South American Indian languages
cay,Cayuga,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nai,nai,North American Indian languages,North American Indian languages
cch,Atsam,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nic,nic,Niger-Kordofanian languages,Niger-Kordofanian languages
ccp,Chakma,,,,,Cakm|Beng,Cakm|Beng,Cakm,Cakm,ltr,,True,False,2,False,False,False,False,cldr,48.2.0,sit,sit,Sino-Tibetan languages,Sino-Tibetan languages
ccr,Cacaopera,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,cai,cai,Central American Indian languages,Central American Indian languages
cdo,Min Dong Chinese,Mìng-dĕ̤ng-ngṳ̄ / 閩東語,,,,,,,,ltr,ltr,True,False,0,False,False,True,False,wikimedia_only,,sit,sit,Sino-Tibetan languages,Sino-Tibetan languages
ce,Chechen,Нохчийн,ce,che,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,ltr,True,False,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,ccn,cau,Caucasian languages,North Caucasian languages
ceb,Cebuano,Sinugboanong Binisaya,,ceb,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,map,map,Austronesian languages,Austronesian languages
cgg,Chiga,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,bnt,nic,Niger-Kordofanian languages,Bantu languages
ch,Chamorro,Chamoru,ch,cha,,Latn,Latn,Latn,Latn,ltr,ltr,True,True,1,True,True,True,False,cldr|iso639_1|iso639_2|wikimedia,48.2.0,map,map,Austronesian languages,Austronesian languages
chb,Chibcha,,,chb,,,,,,ltr,,True,False,0,False,True,False,False,loc_only,,cai,cai,Central American Indian languages,Central American Indian languages
chg,Chagatai,,,chg,,,,,,ltr,,True,False,0,False,True,False,False,loc_only,,trk,tut,Altaic languages,Turkic languages
chk,Chuukese,,,chk,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,map,map,Austronesian languages,Austronesian languages
chm,Mari,,,chm,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,fiu,urj,Uralic languages,Finno-Ugrian languages
chn,Chinook Jargon,,,chn,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,True,False,False,cldr|iso639_2,48.2.0,crp,crp,Creoles and pidgins,Creoles and pidgins
cho,Choctaw,Choctaw,,cho,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,nai,nai,North American Indian languages,North American Indian languages
chp,Chipewyan,,,chp,,Latn|Cans,Latn|Cans,Latn,Latn,ltr,,True,False,2,False,True,False,False,cldr|iso639_2,48.2.0,nai,nai,North American Indian languages,North American Indian languages
chr,Cherokee,ᏣᎳᎩ,,chr,,Cher,Cher,Cher,Cher,ltr,ltr,True,False,1,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,nai,nai,North American Indian languages,North American Indian languages
chy,Cheyenne,Tsetsêhestâhese,,chy,,Latn,Latn,Latn,Latn,ltr,ltr,True,False,1,False,True,True,False,cldr|iso639_2|wikimedia,48.2.0,nai,nai,North American Indian languages,North American Indian languages
cic,Chickasaw,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nai,nai,North American Indian languages,North American Indian languages
cja,Western Cham,,,,,Arab|Cham,Arab|Cham,Arab,Arab,rtl,,True,False,2,False,False,False,False,cldr,48.2.0,map,map,Austronesian languages,Austronesian languages
cjm,Eastern Cham,,,,,Cham|Arab,Cham|Arab,Cham,Cham,ltr,,True,False,2,False,False,False,False,cldr,48.2.0,map,map,Austronesian languages,Austronesian languages
cjs,Shor,,,,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,trk,tut,Altaic languages,Turkic languages
ckb,Central Kurdish,کوردی,,,,Arab,Arab,Arab,Arab,rtl,rtl,True,False,1,False,False,True,False,cldr|wikimedia,48.2.0,ira,ine,Indo-European languages,Iranian languages
ckt,Chukot,,,,,Cyrl,Cyrl,Cyrl,Cyrl,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,,,Chukotko-Kamchatkan languages,Chukotko-Kamchatkan languages
clc,Chilcotin,,,,,Latn,Latn,Latn,Latn,ltr,,True,False,1,False,False,False,False,cldr,48.2.0,nai,nai,North American Indian languages,North American Indian languages
